Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2015-11-10;13:16:12;ZPi010;0000;2.5;AFF1FF712FF---1FF-------------;;399.673;-0.4980569;;14033.77;-103.1994;;749.65;97.90;406;389;22.98;23.56;22.94;23.09;1999.3;1.0;0.8;7;;;;;;;399.61;14036.8;;;;44;;;;;;;;;;;
2015-11-10;13:18:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------; Light Curve;400.0949;-0.4980569;-7.339847;14029.9;-103.1994;856.4672;749.58;97.90;407;389;22.98;23.59;22.90;23.06;1999.2;1.0;0.8;7;52.31;2.92117;15.08022;193.7088;19.36509;229.969;393.25;14989.6;;;;43;;;;;;;;;;;
2015-11-10;13:19:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;400.2497;-0.4980569;-7.226874;14028.72;-103.1994;814.9257;749.64;97.90;407;390;22.98;23.61;22.75;23.04;1999.1;1.0;0.8;7;52.17;2.794822;15.15233;184.4483;19.07691;224.8663;393.52;14946.8;;;;46;;;;;;;;;;;
2015-11-10;13:20:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.7608;-0.4980569;-7.031365;14031.97;-103.1994;782.6219;749.60;97.91;407;390;22.98;23.63;23.01;23.05;1999.4;1.1;0.7;7;52.08;2.696282;15.21485;177.2139;18.52931;222.8046;393.23;14917.8;;;;44;;;;;;;;;;;
2015-11-10;13:21:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.6886;-0.4980569;-6.904063;14033.64;-103.1994;744.9984;749.66;97.90;408;392;22.98;23.64;22.93;23.03;1999.4;0.9;0.8;7;51.93;2.581853;15.28075;168.9611;18.19383;218.0148;393.28;14881.8;;;;44;;;;;;;;;;;
2015-11-10;13:22:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.7732;-0.4980569;-6.820729;14030.53;-103.1994;719.6415;749.60;97.90;408;391;22.99;23.67;22.97;23.03;1999.4;0.9;0.7;7;51.81;2.504413;15.35426;163.1087;17.9726;214.279;393.45;14853.4;;;;44;;;;;;;;;;;
2015-11-10;13:23:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.9189;-0.4980569;-6.725032;14031.64;-103.1994;692.2957;749.65;97.90;409;392;22.99;23.68;22.94;23.03;1999.3;1.1;0.6;7;51.71;2.421283;15.41173;157.1065;17.71905;210.4863;393.69;14827.1;;;;44;;;;;;;;;;;
2015-11-10;13:24:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.89;-0.4980569;-6.610003;14027.14;-103.1994;668.9825;749.60;97.91;410;393;22.99;23.70;22.90;23.03;1999.1;1.0;0.8;7;51.62;2.350093;15.46923;151.9205;17.40067;207.8397;393.78;14799.3;;;;43;;;;;;;;;;;
2015-11-10;13:25:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.5941;-0.4980569;-6.513894;14036.07;-103.1994;651.4746;749.61;97.90;411;394;22.99;23.70;22.87;23.04;1999.1;1.2;0.9;7;51.60;2.296821;15.47404;148.4306;17.13418;206.2587;393.58;14790.7;;;;44;;;;;;;;;;;
2015-11-10;13:26:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.8783;-0.4980569;-6.479681;14031.25;-103.1994;633.6617;749.54;97.91;411;394;22.99;23.71;22.97;23.03;1999.1;1.0;0.8;7;51.53;2.24235;15.52594;144.426;17.05066;202.5035;393.90;14768.1;;;;44;;;;;;;;;;;
2015-11-10;13:27:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.8843;-0.4980569;-6.396885;14036;-103.1994;622.2756;749.64;97.91;412;395;22.99;23.71;22.92;23.03;1999.2;1.0;0.7;7;51.49;2.207966;15.52033;142.2629;16.81803;202.3464;393.99;14761.5;;;;44;;;;;;;;;;;
